ticker,year_month,period_end,open,high,low,close,r3,s3,pct_range_r3,error
CAMPUS.NS,2025-12,2025-12-01,276.0,277.0,255.0,262.0,268.0,256.0,4.69,
CGPOWER.NS,2025-12,2025-12-01,673.0,691.0,635.0,648.0,663.0,633.0,4.74,
SAILIFE.NS,2025-12,2025-12-01,890.0,924.0,846.0,908.0,929.0,887.0,4.74,
PAGEIND.NS,2025-12,2025-12-01,38320.0,38350.0,35310.0,36045.0,36881.0,35209.0,4.75,
GAIL.NS,2025-12,2025-12-01,177.0,177.0,164.0,172.0,176.0,168.0,4.76,
IDFCFIRSTB.NS,2025-12,2025-12-01,80.0,86.0,78.0,86.0,88.0,84.0,4.76,
DLF.NS,2025-12,2025-12-01,727.0,729.0,672.0,687.0,703.0,671.0,4.77,
BAJFINANCE.NS,2025-12,2025-12-01,1042.0,1061.0,978.0,987.0,1010.0,964.0,4.77,
ADANIENSOL.NS,2025-12,2025-12-01,999.0,1033.0,946.0,1027.0,1051.0,1003.0,4.79,
INFY.NS,2025-12,2025-12-01,1562.0,1693.0,1554.0,1615.0,1653.0,1577.0,4.82,
VOLTAS.NS,2025-12,2025-12-01,1375.0,1426.0,1310.0,1361.0,1393.0,1329.0,4.82,
HDFCAMC.NS,2025-12,2025-12-01,2680.0,2738.0,2510.0,2672.0,2735.0,2609.0,4.83,
